City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Hisor,TJ,2021-01-08 08:52:59,38.525,68.5512,30.2,64,75,4.47
235,Amapa,BR,2021-01-08 08:52:45,1.0,-52.0,69.93,98,66,1.34
236,Lakes Entrance,AU,2021-01-08 08:53:00,-37.8811,147.981,66.99,68,0,4.0
237,Mnogovershinnyy,RU,2021-01-08 08:53:00,53.9353,139.9242,-25.49,80,59,4.09
238,Dongsheng,CN,2021-01-08 08:53:00,39.8161,109.9776,6.62,67,0,22.3
239,Luanda,AO,2021-01-08 08:53:00,-8.8368,13.2343,80.6,69,40,8.05
240,Prince Rupert,CA,2021-01-08 08:53:00,54.3161,-130.3201,50.0,40,75,11.5
241,Broken Hill,AU,2021-01-08 08:53:01,-31.95,141.4333,87.8,20,40,16.11
242,Puri,IN,2021-01-08 08:53:01,19.8,85.85,89.6,35,25,3.44
243,Tuktoyaktuk,CA,2021-01-08 08:53:01,69.4541,-133.0374,4.48,88,0,6.02
244,Shaoxing,CN,2021-01-08 08:53:02,30.011,120.5715,33.8,18,0,4.47
245,Longyearbyen,SJ,2021-01-08 08:48:11,78.2186,15.6401,33.8,69,40,18.41
246,Ostrovnoy,RU,2021-01-08 08:53:02,68.0531,39.5131,7.83,93,5,7.02
247,Whitianga,NZ,2021-01-08 08:53:02,-36.8333,175.7,66.99,84,0,1.99
248,Yudong,CN,2021-01-08 08:53:03,29.385,106.5194,41.0,60,40,4.47
249,Namibe,AO,2021-01-08 08:48:07,-15.1961,12.1522,73.4,78,75,5.75
250,Dabakala,CI,2021-01-08 08:53:03,8.3667,-4.4333,82.56,63,71,5.86
251,Konstantinovo,BY,2021-01-08 08:53:04,54.6628,29.2699,30.02,99,100,8.08
252,Champerico,GT,2021-01-08 08:53:07,14.3,-91.9167,64.99,96,32,5.23
253,Ketchikan,US,2021-01-08 08:53:08,55.3422,-131.6461,48.2,57,1,3.44
254,Torrington,US,2021-01-08 08:53:08,41.8007,-73.1212,24.01,89,0,4.0
255,Kaitangata,NZ,2021-01-08 08:53:08,-46.2817,169.8464,53.01,74,49,3.0
